TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
114,6156.7237,21851.0517,35820.2147,516.7211,-679.9752,-8976.9531,0.0,0.0,0.0,54687.783,0.0,54687.783,54687.783,0.0
115,6159.6657,21856.5929,35820.729,516.828,-680.0017,-8986.1796,0.0,0.0,0.0,54687.6343,0.0,54687.6343,54687.6343,0.0
116,6214.8891,21744.4942,35807.2488,513.7952,-679.255,-9338.8128,0.0,0.0,0.0,54262.3594,0.0,54262.3594,54262.3594,0.0
117,6283.4265,21637.1142,35794.0915,510.8535,-678.508,-9557.6374,0.0,0.0,0.0,53989.3404,0.0,53989.3404,53989.3404,0.0
118,6365.3785,21534.5071,35781.2913,507.9917,-677.7606,-9699.4268,0.0,0.0,0.0,53811.9812,0.0,53811.9812,53811.9812,0.0
119,6366.7252,21498.0202,35776.0225,507.1864,-677.5287,-9839.0517,0.0,0.0,0.0,53631.3739,0.0,53631.3739,53631.3739,0.0
120,6379.1463,21463.9946,35770.9044,506.4833,-677.2954,-9837.4533,0.0,0.0,0.0,53605.7799,0.0,53605.7799,53605.7799,0.0
121,6402.8514,21432.4505,35765.9302,505.8685,-677.0611,-9716.0014,0.0,0.0,0.0,53714.038,0.0,53714.038,53714.038,0.0
122,6374.1637,21474.1294,35772.4527,506.6881,-677.3669,-9850.5336,0.0,0.0,0.0,53599.5334,0.0,53599.5334,53599.5334,0.0
123,6373.1776,21476.4649,35772.8065,506.7359,-677.3831,-9852.0008,0.0,0.0,0.0,53599.8009,0.0,53599.8009,53599.8009,0.0
124,6374.0626,21474.3624,35772.488,506.6929,-677.3685,-9850.708,0.0,0.0,0.0,53599.5296,0.0,53599.5296,53599.5296,0.0
125,6275.3276,21350.9551,35759.9908,504.2893,-676.773,-9863.3386,0.0,0.0,0.0,53350.4511,0.0,53350.4511,53350.4511,0.0
126,6193.9443,21229.8028,35747.7994,501.9375,-676.1762,-9857.2076,0.0,0.0,0.0,53140.1002,0.0,53140.1002,53140.1002,0.0
127,6213.7133,21193.6807,35742.8383,500.5775,-675.9043,-10028.6356,0.0,0.0,0.0,52946.2698,0.0,52946.2698,52946.2698,0.0
128,6242.2138,21160.1632,35738.0093,499.3067,-675.6315,-10081.4304,0.0,0.0,0.0,52882.6312,0.0,52882.6312,52882.6312,0.0
129,6279.6003,21129.3021,35733.3013,498.1034,-675.358,-10033.5721,0.0,0.0,0.0,52931.377,0.0,52931.377,52931.377,0.0
130,6245.5499,21156.9567,35737.5333,499.1837,-675.6042,-10081.1896,0.0,0.0,0.0,52882.4297,0.0,52882.4297,52882.4297,0.0
131,6244.4828,21157.9702,35737.684,499.2226,-675.6129,-10081.3738,0.0,0.0,0.0,52882.373,0.0,52882.373,52882.373,0.0
132,6172.5768,21057.1273,35725.9526,496.9221,-675.0687,-10141.1421,0.0,0.0,0.0,52636.368,0.0,52636.368,52636.368,0.0
133,6115.6314,20980.3825,35717.5282,495.6315,-674.7134,-10174.478,0.0,0.0,0.0,52459.9822,0.0,52459.9822,52459.9822,0.0
134,6071.6889,20906.8916,35709.3094,494.4961,-674.3573,-10059.9882,0.0,0.0,0.0,52448.0405,0.0,52448.0405,52448.0405,0.0
135,6040.57,20836.6092,35701.3132,493.5528,-674.0007,-9703.2828,0.0,0.0,0.0,52694.7617,0.0,52694.7617,52694.7617,0.0
136,6089.553,20939.0321,35712.9219,494.9774,-674.5151,-10132.561,0.0,0.0,0.0,52429.4083,0.0,52429.4083,52429.4083,0.0
137,6087.653,20935.7897,35712.5588,494.9277,-674.4993,-10127.0282,0.0,0.0,0.0,52429.4017,0.0,52429.4017,52429.4017,0.0
138,6039.0925,20791.8973,35696.1453,491.8083,-673.7045,-10206.971,0.0,0.0,0.0,52138.268,0.0,52138.268,52138.268,0.0
139,6053.6997,20744.3739,35689.5979,490.1071,-673.37,-10339.1738,0.0,0.0,0.0,51965.2347,0.0,51965.2347,51965.2347,0.0
140,6077.5637,20699.4048,35683.2084,488.5086,-673.0344,-10355.2119,0.0,0.0,0.0,51920.4392,0.0,51920.4392,51920.4392,0.0
141,6110.8131,20657.0356,35676.9658,486.9924,-672.6979,-10252.5032,0.0,0.0,0.0,52006.6058,0.0,52006.6058,52006.6058,0.0
142,6073.7363,20705.4229,35684.0763,488.7226,-673.0805,-10359.5695,0.0,0.0,0.0,51919.3082,0.0,51919.3082,51919.3082,0.0
143,6074.1111,20704.8189,35683.9894,488.7012,-673.0759,-10359.2324,0.0,0.0,0.0,51919.3122,0.0,51919.3122,51919.3122,0.0
